outputA/stump, test, iter_-1, 280.28
outputA/train, test, iter_-1, 320.59
outputA/bonsai, test, iter_-1, 321.98
outputA/counter, test, iter_-1, 255.04
outputA/data_bicycle, test, iter_-1, 235.07
outputA/data_drjohnson, test, iter_-1, 322.21
outputA/data_treehill, test, iter_-1, 268.66
outputA/data_truck, test, iter_-1, 264.78
outputA/flowers, test, iter_-1, 289.02
outputA/garden, test, iter_-1, 264.76
outputA/kitchen, test, iter_-1, 253.30
outputA/playroom, test, iter_-1, 372.50
outputA/room, test, iter_-1, 289.19
outputA/stump, test, iter_-1, 282.35
outputA/train, test, iter_-1, 317.89
/data/chaohu/Scjscc/GS/vq1/gaussian-splatting-vqCom/output2/data_output, test, iter_-1, nan
/data/chaohu/Scjscc/GS/vq1/gaussian-splatting-vqCom/output3/PlayroomwioVQ, test, iter_-1, nan
/data/chaohu/Scjscc/GS/vq1/gaussian-splatting-vqCom/output3/PlayroomwioVQ, test, iter_-1, 185.23
